54.08,-116.77,-157.52,70.27
54.02,-162.70,69.12,2.91
21.90,-136.24,118.66,33.13
180.96,-40.27,-16.72,50.48
179.69,-58.45,-184.04,0.85
-58.46,-117.24,113.48,33.14
-128.09,-171.16,-78.36,21.38
-61.53,-177.97,-97.78,90.88
115.76,-114.26,-17.36,70.35
-26.83,-153.61,-96.54,37.77
-14.32,-88.28,85.54,27.54
-140.36,-21.98,-142.24,18.38
191.31,-95.22,-182.13,27.46
-86.28,73.67,143.21,94.71
37.83,-159.93,-175.33,53.06
156.84,188.48,-133.74,45.36
57.86,19.45,74.58,66.91
173.26,-175.88,156.41,83.42
-96.12,43.43,-150.76,98.84
59.99,162.54,128.98,24.85
-9.67,157.24,170.34,34.17
-191.67,-112.80,-120.11,63.95
-125.63,22.53,-121.83,71.80
156.13,93.07,176.53,37.52
64.44,66.16,-124.10,46.15
49.85,-112.84,-191.09,84.46
45.60,-142.22,153.47,32.25
-44.50,-18.93,64.89,32.25
-189.23,67.72,-94.63,77.93
-42.53,77.03,-106.08,67.25
-113.06,-143.32,-43.84,32.42
84.29,-50.80,-177.05,70.13
145.34,48.91,7.94,65.46
0.56,-178.40,-11.08,23.33
184.72,140.35,123.77,95.94
103.84,144.31,151.65,22.05
176.73,93.28,-38.89,74.39
165.78,169.54,51.36,45.46
-37.43,-30.83,169.37,88.35
156.47,29.05,174.72,69.76
-110.21,151.09,65.57,84.77
-8.92,-85.47,-106.35,29.75
178.49,-192.56,-197.76,28.63
-162.14,62.55,40.86,60.50
105.91,148.45,141.58,41.86
-73.52,145.48,-113.84,75.79
-1.64,-72.96,-150.02,91.74
95.99,-29.83,177.65,65.05
-80.16,-64.39,26.93,22.92
-178.82,-114.23,11.85,15.21
-153.95,150.30,-17.67,52.18
-43.37,-197.71,196.85,89.40
-186.88,74.29,176.46,70.05
-62.60,-178.40,-127.57,18.85
-169.92,131.78,-163.59,18.55
-124.58,-17.82,51.40,89.88
-156.03,64.02,163.19,38.99
-109.29,-80.59,-153.93,32.41
146.88,-20.78,143.61,9.16
-83.54,142.90,43.92,41.81
-86.16,-192.38,80.88,13.98
116.95,-67.70,-3.29,90.59
60.59,-186.49,58.05,18.64
157.55,153.34,-113.23,11.66
-89.50,115.66,-151.66,38.63
65.67,195.55,134.90,59.77
59.40,67.70,86.51,25.52
-78.11,-66.78,-186.34,82.76
-72.33,50.09,-184.86,12.80
120.18,111.24,30.22,59.25
188.46,-74.86,20.07,90.90
36.43,-142.75,-57.10,84.49
-38.80,106.80,68.96,5.47
-155.84,121.85,-24.73,10.90
-40.59,96.58,67.12,98.10
-83.28,-51.75,92.13,75.00
81.88,-162.64,-155.49,33.66
-45.22,173.01,-98.82,67.40
36.38,136.46,188.15,83.31
78.38,59.45,-155.37,27.43
84.75,109.76,33.95,57.39
-177.55,65.23,44.71,69.03
-101.35,98.16,-168.08,7.30
-124.96,45.75,-132.79,69.68
14.96,-191.77,198.96,40.55
-102.92,-105.23,166.98,78.85
79.77,-71.66,-126.72,18.07
-137.02,124.09,-120.33,27.67
170.27,-27.90,-115.69,27.92
60.95,-16.49,-76.40,46.53
-16.68,0.38,152.56,54.63
192.21,22.90,-124.19,22.12
-19.96,-26.23,32.99,88.12
108.09,97.89,186.54,50.64
-124.78,186.81,16.48,41.66
24.15,-79.44,-4.04,68.82
-39.17,-64.30,-97.06,72.59
150.27,156.99,-82.56,69.39
52.56,70.92,60.64,25.32
175.91,172.96,51.17,32.50
