-30.64,-98.85,77.79
25.70,17.79,-156.71
-55.13,-189.61,-58.46
-9.02,-121.79,46.72
-82.75,-116.90,168.58
11.34,-137.17,16.77
-187.82,-137.31,178.51
117.60,-185.26,91.83
-0.03,32.72,-182.87
-12.96,45.72,-66.54
40.69,60.21,-23.70
-35.18,-158.41,-60.45
29.36,41.89,-132.94
-97.54,-44.83,168.74
122.18,-196.10,148.91
43.11,-15.37,49.73
-38.98,-189.27,-54.31
-128.71,64.11,45.95
-190.59,76.44,-135.18
-39.33,-152.34,-115.97
71.13,81.65,-12.37
-7.09,-139.68,-13.63
-100.94,-106.80,40.49
-49.14,-147.93,196.64
157.65,-61.98,32.70
44.56,-126.84,-157.09
-168.65,-153.80,-79.01
112.06,60.82,-93.50
-48.71,166.45,113.74
-78.06,-23.27,-116.59
-64.51,54.43,160.42
-69.45,167.07,137.48
-81.32,-4.89,103.40
-74.55,159.47,-84.82
-183.77,166.03,-63.00
194.47,-93.48,57.35
75.15,170.32,-120.03
145.70,197.33,-195.11
80.30,126.18,97.45
-117.36,68.32,-72.22
-103.31,122.17,-99.12
-103.72,-47.35,148.83
-57.52,-167.96,-177.26
24.59,32.94,-103.08
130.41,-105.33,38.54
173.22,-57.07,-114.21
-170.33,-60.42,41.64
78.89,-43.35,122.63
50.15,179.36,-63.44
89.93,-16.42,-179.10
-82.80,169.02,-8.64
64.44,-49.58,8.63
-111.36,191.41,-14.38
142.81,105.88,141.15
185.24,-125.11,-66.28
-94.98,67.29,67.56
199.78,65.15,-103.41
-192.98,186.39,53.89
-125.85,3.04,-116.96
-189.90,15.86,-6.13
164.59,-78.53,164.59
-56.41,-4.05,-132.52
146.16,-148.64,86.41
15.44,-141.83,136.27
151.35,172.40,71.27
-182.02,86.47,158.80
126.73,-117.60,-80.65
44.78,129.26,-96.40
175.53,178.36,-136.55
186.95,80.92,-65.18
102.41,5.37,-180.21
29.50,-168.58,119.58
77.10,-138.13,-25.17
-95.07,116.56,-103.66
93.31,51.53,-119.79
-64.26,9.53,160.99
42.77,106.47,-176.34
-167.65,-186.17,49.46
96.38,11.25,-47.04
-0.88,-94.61,70.60
-52.07,-67.24,22.52
97.81,3.20,186.01
12.05,-17.54,-4.24
54.98,16.86,-69.84
77.65,-56.18,-22.54
172.53,-60.84,-33.12
-179.80,99.63,-105.82
-22.61,154.15,10.59
108.69,-29.96,-167.54
159.61,65.76,92.75
-37.67,168.70,-54.67
103.22,-11.24,-14.58
194.00,-181.04,-69.12
182.41,-29.87,134.49
115.63,127.97,171.60
117.86,-168.17,-199.68
-11.52,-51.64,19.24
-24.72,170.08,20.85
10.08,186.09,-144.46
-183.06,57.00,-164.18
